message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,mute,scam,Suspicious or unsafe language was detected.,0.92,none
msg_091,notify,payment,A payment-related update may require timely attention.,0.84,none
msg_090,notify,event,A time-sensitive event or schedule update may require attention.,0.83,none
msg_048,notify,payment,A payment-related update may require timely attention.,0.84,none
msg_040,digest,promotion,Promotional content can wait for a digest.,0.78,none
msg_075,notify,event,A time-sensitive event or schedule update may require attention.,0.83,none
msg_005,notify,event,A time-sensitive event or schedule update may require attention.,0.83,none
msg_104,notify,event,A time-sensitive event or schedule update may require attention.,0.83,none
msg_069,notify,event,A time-sensitive event or schedule update may require attention.,0.83,none
msg_107,mute,scam,Suspicious or unsafe language was detected.,0.92,none
msg_070,mute,scam,Suspicious or unsafe language was detected.,0.92,none
msg_003,notify,payment,A payment-related update may require timely attention.,0.84,none
msg_099,notify,event,A time-sensitive event or schedule update may require attention.,0.83,none
msg_008,notify,event,A time-sensitive event or schedule update may require attention.,0.83,none
msg_092,notify,payment,A payment-related update may require timely attention.,0.84,none
msg_060,digest,promotion,Promotional content can wait for a digest.,0.78,none
msg_004,notify,event,A time-sensitive event or schedule update may require attention.,0.83,none
msg_030,notify,event,A time-sensitive event or schedule update may require attention.,0.83,none
msg_045,notify,event,A time-sensitive event or schedule update may require attention.,0.83,none
msg_052,notify,event,A time-sensitive event or schedule update may require attention.,0.83,none
msg_009,notify,event,A time-sensitive event or schedule update may require attention.,0.83,none
msg_071,notify,event,A time-sensitive event or schedule update may require attention.,0.83,none
msg_016,notify,event,A time-sensitive event or schedule update may require attention.,0.83,none
msg_065,digest,promotion,Promotional content can wait for a digest.,0.78,none
msg_038,notify,event,A time-sensitive event or schedule update may require attention.,0.83,none
msg_086,notify,event,A time-sensitive event or schedule update may require attention.,0.83,none
msg_014,digest,promotion,Promotional content can wait for a digest.,0.78,none
msg_094,digest,promotion,Promotional content can wait for a digest.,0.78,none
msg_029,notify,event,A time-sensitive event or schedule update may require attention.,0.83,none
msg_105,notify,event,A time-sensitive event or schedule update may require attention.,0.83,none
msg_002,notify,event,A time-sensitive event or schedule update may require attention.,0.83,none
msg_010,notify,event,A time-sensitive event or schedule update may require attention.,0.83,none
msg_078,notify,event,A time-sensitive event or schedule update may require attention.,0.83,none
msg_013,digest,promotion,Promotional content can wait for a digest.,0.78,none
msg_018,notify,event,A time-sensitive event or schedule update may require attention.,0.83,none
msg_044,mute,scam,Suspicious or unsafe language was detected.,0.92,none
msg_032,notify,event,A time-sensitive event or schedule update may require attention.,0.83,none
msg_106,notify,event,A time-sensitive event or schedule update may require attention.,0.83,none
msg_006,notify,event,A time-sensitive event or schedule update may require attention.,0.83,none
msg_109,notify,payment,A payment-related update may require timely attention.,0.84,none
msg_108,notify,event,A time-sensitive event or schedule update may require attention.,0.83,none
msg_019,notify,event,A time-sensitive event or schedule update may require attention.,0.83,none
msg_088,notify,event,A time-sensitive event or schedule update may require attention.,0.83,none
msg_056,notify,event,A time-sensitive event or schedule update may require attention.,0.83,none
msg_027,notify,event,A time-sensitive event or schedule update may require attention.,0.83,none
msg_050,notify,event,A time-sensitive event or schedule update may require attention.,0.83,none
msg_083,notify,event,A time-sensitive event or schedule update may require attention.,0.83,none
msg_063,notify,event,A time-sensitive event or schedule update may require attention.,0.83,none
msg_033,notify,event,A time-sensitive event or schedule update may require attention.,0.83,none
msg_061,notify,event,A time-sensitive event or schedule update may require attention.,0.83,none
msg_020,notify,event,A time-sensitive event or schedule update may require attention.,0.83,none
msg_017,notify,event,A time-sensitive event or schedule update may require attention.,0.83,none
msg_058,notify,event,A time-sensitive event or schedule update may require attention.,0.83,none
msg_026,mute,scam,Suspicious or unsafe language was detected.,0.92,none
